Mode,Recall@1,Recall@5,Recall@10,mAP,Avg Retrieval Time (ms)
SAR -> SAR,53.400000000000006,85.97777777777777,92.48888888888888,61.239698475686566,0.011819288888849162
MS -> MS,57.84444444444444,87.04444444444445,93.46666666666667,64.0869876053302,0.011255377777767233
