Mode,Recall@1,Recall@5,Recall@10,Avg Retrieval Time (ms)
SAR -> MS,38.77777777777778,64.82222222222222,75.04444444444445,0.012265400000008716
MS -> SAR,37.044444444444444,63.733333333333334,74.0,0.01388091111109841
